"fecha","hora","magnitud","profundidad_km","lugar","latitud","longitud"
"2024-12-27","10:28",4.7,73.534,"21 km SW of Acajutla, El Salvador",13.4442,-89.9533
"2024-12-23","11:13",4.6,10,"113 km SW of Acajutla, El Salvador",12.7911,-90.4758
"2024-12-20","19:37",4.1,50.921,"42 km SW of La Libertad, El Salvador",13.1934,-89.5689
"2024-12-14","18:53",4.4,47.794,"46 km S of Acajutla, El Salvador",13.1773,-89.8015
"2024-12-12","00:22",4.4,10,"115 km S of La Libertad, El Salvador",12.4644,-89.517
"2024-12-09","07:46",4.5,15.708,"8 km ESE of Conchagua, El Salvador",13.268,-87.8004
"2024-12-08","21:50",5.6,10,"2 km SSE of Conchagua, El Salvador",13.2899,-87.8532
"2024-12-02","00:33",4.3,43.894,"96 km S of Acajutla, El Salvador",12.7183,-89.8217
"2024-11-28","12:27",4.3,76.96,"34 km S of Puerto El Triunfo, El Salvador",12.9698,-88.5901
"2024-11-26","01:21",4.3,50.596,"101 km SSW of Chirilagua, El Salvador",12.3301,-88.3765
"2024-11-04","12:35",4.2,31.8,"72 km SW of Acajutla, El Salvador",13.1881,-90.349
"2024-10-26","00:54",4,46.211,"53 km SSW of Acajutla, El Salvador",13.1232,-89.9522
"2024-10-25","19:21",4.8,60.411,"59 km S of Intipucá, El Salvador",12.6601,-88.114
"2024-10-25","11:37",4.4,10,"135 km SSW of Puerto El Triunfo, El Salvador",12.1664,-89.0563
"2024-10-18","01:17",4.5,10,"141 km SSW of Puerto El Triunfo, El Salvador",12.1315,-89.1156
"2024-10-14","07:08",4.4,187.105,"6 km SSW of Tecoluca, El Salvador",13.738,-89.0315
"2024-10-02","04:51",4.5,48.243,"47 km S of Acajutla, El Salvador",13.1685,-89.8733
"2024-09-22","13:48",4.4,71.265,"32 km SW of La Libertad, El Salvador",13.2698,-89.5209
"2024-09-21","20:25",5,76.93,"28 km SSW of La Libertad, El Salvador",13.2483,-89.4248
"2024-09-20","15:15",4.3,64.677,"51 km SW of Jiquilisco, El Salvador",13.0017,-88.9375
"2024-09-18","22:57",4.6,48.286,"76 km S of Intipucá, El Salvador",12.5142,-88.1514
"2024-09-15","14:18",4.3,29.968,"53 km SSW of Acajutla, El Salvador",13.1201,-89.9446
"2024-09-15","04:55",4.1,62.76,"63 km SSW of Chirilagua, El Salvador",12.6896,-88.3594
"2024-09-15","04:18",4.2,45.93,"38 km S of Acajutla, El Salvador",13.2453,-89.7857
"2024-09-14","23:16",4.7,27.072,"54 km S of Acajutla, El Salvador",13.1119,-89.9131
"2024-09-14","23:10",4.2,49.683,"40 km S of Acajutla, El Salvador",13.2324,-89.8702
"2024-09-14","22:58",5.2,29.796,"59 km S of Acajutla, El Salvador",13.0626,-89.9141
"2024-09-14","20:00",4.6,36.05,"58 km S of Acajutla, El Salvador",13.0722,-89.8973
"2024-09-13","15:21",4.9,35,"55 km S of Acajutla, El Salvador",13.0997,-89.9087
"2024-09-04","20:11",4.2,62.699,"11 km SSE of Acajutla, El Salvador",13.507,-89.776
"2024-08-30","21:52",4.1,68.3,"61 km SSW of Chirilagua, El Salvador",12.6938,-88.3182
"2024-08-30","04:08",4.2,41.468,"63 km SSW of La Libertad, El Salvador",12.9858,-89.608
"2024-08-29","01:43",4.4,44.872,"61 km SSW of La Libertad, El Salvador",12.9936,-89.5759
"2024-08-28","16:14",4.3,35,"71 km SSW of La Libertad, El Salvador",12.902,-89.6094
"2024-08-28","15:57",6.1,26.358,"56 km SSW of La Libertad, El Salvador",13.0471,-89.583
"2024-08-26","00:43",4,59.196,"33 km SE of Acajutla, El Salvador",13.3669,-89.6168
"2024-08-25","17:30",4.3,173.87,"5 km S of Conchagua, El Salvador",13.2601,-87.8622
"2024-08-21","04:38",4.2,61.153,"45 km SW of La Libertad, El Salvador",13.1924,-89.6098
